Label,Analysis,nVertices,SessCode,Condition,Response,Area
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,144389,facewordN19_self,Chinese_top,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,144389,facewordN19_self,Chinese_bottom,NaN,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,131073,facewordN20_self,English_intact,0.334502396793608,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,131073,facewordN20_self,English_exchange,0.0795173935869054,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,131073,facewordN20_self,English_top,-0.000155486473247308,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,131073,facewordN20_self,English_bottom,0.276804212221209,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,131073,facewordN20_self,Chinese_intact,-0.09382558640445,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,131073,facewordN20_self,Chinese_exchange,-0.0069229947898625,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,131073,facewordN20_self,Chinese_top,0.132448619596559,50
roi.lh.f-vs-o.ffa1.surf.geodesic.a50.label,main_sm5_E2_self.lh,131073,facewordN20_self,Chinese_bottom,-0.271095162408577,50
roi.lh.f-vs-o.ffa2.surf.geodesic.a50.label,main_sm5_E2_self.lh,103261,facewordN01_self,English_intact,NaN,50
roi.lh.f-vs-o.ffa2.surf.geodesic.a50.label,main_sm5_E2_self.lh,103261,facewordN01_self,English_exchange,NaN,50
roi.lh.f-vs-o.ffa2.surf.geodesic.a50.label,main_sm5_E2_self.lh,103261,facewordN01_self,English_top,NaN,50
roi.lh.f-vs-o.ffa2.surf.geodesic.a50.label,main_sm5_E2_self.lh,103261,facewordN01_self,English_bottom,NaN,50
roi.lh.f-vs-o.ffa2.surf.geodesic.a50.label,main_sm5_E2_self.lh,103261,facewordN01_self,Chinese_intact,NaN,50
roi.lh.f-vs-o.ffa2.surf.geodesic.a50.label,main_sm5_E2_self.lh,103261,facewordN01_self,Chinese_exchange,NaN,50
roi.lh.f-vs-o.ffa2.surf.geodesic.a50.label,main_sm5_E2_self.lh,103261,facewordN01_self,Chinese_top,NaN,50
roi.lh.f-vs-o.ffa2.surf.geodesic.a50.label,main_sm5_E2_self.lh,103261,facewordN01_self,Chinese_bottom,NaN,50
roi.lh.f-vs-o.ffa2.surf.geodesic.a50.label,main_sm5_E2_self.lh,138526,facewordN02_self,English_intact,0.701740471380098,50
roi.lh.f-vs-o.ffa2.surf.geodesic.a50.label,main_sm5_E2_self.lh,138526,facewordN02_self,English_exchange,0.543203902351005,50
roi.lh.f-vs-o.ffa2.surf.geodesic.a50.label,main_sm5_E2_self.lh,138526,facewordN02_self,English_top,0.464933710704957,50
roi.lh.f-vs-o.ffa2.surf.geodesic.a50.label,main_sm5_E2_self.lh,138526,facewordN02_self,English_bottom,0.69117704225438,50
roi.lh.f-vs-o.ffa2.surf.geodesic.a50.label,main_sm5_E2_self.lh,138526,facewordN02_self,Chinese_intact,0.440197444387845,50
roi.lh.f-vs-o.ffa2.surf.geodesic.a50.label,main_sm5_E2_self.lh,138526,facewordN02_self,Chinese_exchange,0.353926520847848,50
roi.lh.f-vs-o.ffa2.surf.geodesic.a50.label,main_sm5_E2_self.lh,138526,facewordN02_self,Chinese_top,0.67368150140558,50
roi.lh.f-vs-o.ffa2.surf.geodesic.a50.label,main_sm5_E2_self.lh,138526,facewordN02_self,Chinese_bottom,0.807809134466308,50
roi.lh.f-vs-o.ffa2.surf.geodesic.a50.label,main_sm5_E2_self.lh,134377,facewordN03_self,English_intact,NaN,50
roi.lh.f-vs-o.ffa2.surf.geodesic.a50.label,main_sm5_E2_self.lh,134377,facewordN03_self,English_exchange,NaN,50
roi.lh.f-vs-o.ffa2.surf.geodesic.a50.label,main_sm5_E2_self.lh,134377,facewordN03_self,English_top,NaN,50
roi.lh.f-vs-o.ffa2.surf.geodesic.a50.label,main_sm5_E2_self.lh,134377,facewordN03_self,English_bottom,NaN,50
roi.lh.f-vs-o.ffa2.surf.geodesic.a50.label,main_sm5_E2_self.lh,134377,facewordN03_self,Chinese_intact,NaN,50
roi.lh.f-vs-o.ffa2.surf.geodesic.a50.label,main_sm5_E2_self.lh,134377,facewordN03_self,Chinese_exchange,NaN,50
roi.lh.f-vs-o.ffa2.surf.geodesic.a50.label,main_sm5_E2_self.lh,134377,facewordN03_self,Chinese_top,NaN,50
roi.lh.f-vs-o.ffa2.surf.geodesic.a50.label,main_sm5_E2_self.lh,134377,facewordN03_self,Chinese_bottom,NaN,50
roi.lh.f-vs-o.ffa2.surf.geodesic.a50.label,main_sm5_E2_self.lh,123708,facewordN04_self,English_intact,0.0454843714192975,50
roi.lh.f-vs-o.ffa2.surf.geodesic.a50.label,main_sm5_E2_self.lh,123708,facewordN04_self,English_exchange,0.219359239935875,50
roi.lh.f-vs-o.ffa2.surf.geodesic.a50.label,main_sm5_E2_self.lh,123708,facewordN04_self,English_top,-0.00323154444049578,50
roi.lh.f-vs-o.ffa2.surf.geodesic.a50.label,main_sm5_E2_self.lh,123708,facewordN04_self,English_bottom,-0.0548382689885329,50
roi.lh.f-vs-o.ffa2.surf.geodesic.a50.label,main_sm5_E2_self.lh,123708,facewordN04_self,Chinese_intact,-0.125566292199073,50
roi.lh.f-vs-o.ffa2.surf.geodesic.a50.label,main_sm5_E2_self.lh,123708,facewordN04_self,Chinese_exchange,-0.0179295042849844,50
roi.lh.f-vs-o.ffa2.surf.geodesic.a50.label,main_sm5_E2_self.lh,123708,facewordN04_self,Chinese_top,0.0635736492142314,50
roi.lh.f-vs-o.ffa2.surf.geodesic.a50.label,main_sm5_E2_self.lh,123708,facewordN04_self,Chinese_bottom,0.138119536498562,50
